fecha,semana_iso,corpus,diario,provincia,region,ciudad_origen,url_medio,titular,palabras_encontradas,cantidad_palabras
2026-04-30,2026-W18,provincial,NUEVO DIARIO,Salta,NOA,Salta,https://www.nuevodiariodesalta.com.ar,"Continúa el reclamo de padres en una escuela de El Trigal, en La Poma",reclamo,1
2026-04-30,2026-W18,provincial,EL LIBERAL,Santiago del Estero,NOA,Santiago del Estero,https://www.elliberal.com.ar,"La CGT contundente: llamó a ponerle ""un límite"" al Gobierno de Milei en la marcha por el Día del Trabajador",marcha,1
2026-04-30,2026-W18,provincial,LA GACETA,Tucumán,NOA,Tucumán,https://www.lagaceta.com.ar,La CGT desafía el rumbo de Milei con una masiva movilización a Plaza de Mayo,movilización,1
2026-04-30,2026-W18,provincial,LA VOZ DEL CHACO,Chaco,NEA,Resistencia,https://www.diariolavozdelchaco.com,Sander confirmó que la ciudad logró desagotar los barrios y reclamó obras,reclamo,1
2026-04-30,2026-W18,provincial,LA VOZ DEL CHACO,Chaco,NEA,Resistencia,https://www.diariolavozdelchaco.com,CGT convoca a movilización en Resistencia: críticas a Zdero y fuerte mensaje en la previa del Día del Trabajador,movilización,1
2026-04-30,2026-W18,provincial,NORTE,Chaco,NEA,Resistencia,https://www.diarionorte.com,Marcha por justicia por el crimen de Jonathan Romero,marcha,1
2026-04-30,2026-W18,provincial,EL LITORAL,Corrientes,NEA,Corrientes,https://www.ellitoral.com.ar,"Marcha por el Día del Trabajador: la CGT llamó a ponerle “un límite"" al Gobierno de Milei",marcha,1
2026-04-30,2026-W18,provincial,ÉPOCA,Corrientes,NEA,Corrientes,https://www.diarioepoca.com,Caso Giovanni: pese a tanta Policía hubo marcha,marcha,1
2026-04-30,2026-W18,provincial,ÉPOCA,Corrientes,NEA,Corrientes,https://www.diarioepoca.com,"La CGT llamó a ponerle ""un límite"" al Gobierno de Milei en la marcha por el Día del Trabajador",marcha,1
2026-04-30,2026-W18,provincial,EL COMERCIAL,Formosa,NEA,Formosa,https://www.elcomercial.com.ar,Paro del Servicio Meteorológico Nacional: cómo afectará a los vuelos en todo el país y qué aeropuertos tendrán demoras y cancelaciones,paro,1
2026-04-30,2026-W18,provincial,EL TERRITORIO,Misiones,NEA,Posadas,https://www.elterritorio.com.ar,Arrancó la marcha de la CGT en rechazo a la reforma laboral,marcha,1
2026-04-30,2026-W18,provincial,MISIONES ON LINE,Misiones,NEA,Posadas,https://www.misionesonline.net,"En la previa del Día del Trabajador, la CGT se movilizó a Plaza de Mayo y anticipó un paro general si no mejora la economía: “El humor en la calle ya está alterado”",paro,1
2026-04-30,2026-W18,provincial,MISIONES ON LINE,Misiones,NEA,Posadas,https://www.misionesonline.net,El documento que leyó la CGT durante la marcha: “Un gobierno que divide al pueblo y promueve la descalificación”,marcha,1
2026-04-30,2026-W18,provincial,PRIMERA EDICIÓN,Misiones,NEA,Posadas,https://www.primeraedicion.com.ar,La CGT llamó a ponerle “un límite” al Gobierno de Milei en la marcha por el Día del Trabajador,marcha,1
2026-04-30,2026-W18,provincial,PRIMERA EDICIÓN,Misiones,NEA,Posadas,https://www.primeraedicion.com.ar,Productores yerbateros llevaron su reclamo al Congreso y redoblan la presión contra el DNU,reclamo,1
2026-04-30,2026-W18,provincial,ADN SUR,Chubut,Patagonia,Comodoro Rivadavia,https://www.adnsur.com.ar,Jubilados de Comodoro llevaron su reclamo al Municipio y al Concejo para advertir por el “impacto social” de la crisis del PAMI,reclamo,1
2026-04-30,2026-W18,provincial,ADN SUR,Chubut,Patagonia,Comodoro Rivadavia,https://www.adnsur.com.ar,"En la marcha por el Día del Trabajador, la CGT le advirtió al Gobierno que “se acabó la paciencia”",marcha,1
2026-04-30,2026-W18,provincial,CRÓNICA,Chubut,Patagonia,Comodoro Rivadavia,https://www.diariocronica.com.ar,Masiva marcha de antorchas en Trelew y Rawson,marcha,1
